name,link,category,based_in,tags,founded
Wedding Capsule,https://www.eu-startups.com/directory/wedding-capsule/,Austria,Lochau,"Wedding & Event Planning, Lifestyle, Productivity, Personal Life, Wedding Guest book",2024
Hyrox Training Plans,https://www.eu-startups.com/directory/hyrox-training-plans/,Austria,Ober-wolfsbach,"Fitness, Health & Wellness, Hyrox Training",2024
DOLPHIN RADAR,https://www.eu-startups.com/directory/dolphin-radar/,Austria,AUSTRIA,"INSTAGRAM, SOCIAL MEDIA, DATA, ANALYSIS",2024
506.ai,https://www.eu-startups.com/directory/506ai/,Austria,Linz,"ai, process, automation",2020
Get Worksheet,https://www.eu-startups.com/directory/get-worksheet/,Austria,Vienna,"Education, Artificial Intelligence",2023
Finslice,https://www.eu-startups.com/directory/finslice/,Austria,Linz,"Fintech, Exchange, Alternative Investments, Tangible Assets",2024
FantasyGF AI,https://www.eu-startups.com/directory/fantasygf-ai/,Austria,Austria,"AI, SaaS, ChatBot",2023
DAIKI GmbH,https://www.eu-startups.com/directory/daiki-gmbh/,Austria,Vienna,"AI governance, Compliance software",2023
CaterMe,https://www.eu-startups.com/directory/caterme/,Austria,Piringsdorf,"catering, events",2020
WasItAI,https://www.eu-startups.com/directory/wasitai/,Austria,Vienna,AI-image detection,2024
Maps Scraper AI,https://www.eu-startups.com/directory/maps-scraper-ai/,Austria,Collyer Quay,ai，maps scraper,2023
RTOPilot,https://www.eu-startups.com/directory/rtopilot/,Austria,Selker,"SaaS, EdTech, Vocational Education & Training, Startup",2024
Hypertxt,https://www.eu-startups.com/directory/hypertxt/,Austria,Vienna,"AI Content Generator,SEO Blog Posts",2023
Cimphony,https://www.eu-startups.com/directory/cimphony/,Austria,Thal,"SaaS, AI,Bussines",2024
digna GmbH,https://www.eu-startups.com/directory/digna-gmbh/,Austria,Vienna,"data quality, data observability tool, data quality solution, data warehouses, data centers, anomaly detection",2020
IDCanopy,https://www.eu-startups.com/directory/idcanopy/,Austria,Vienna,"KYC, KYB, eID, Fintech",2024
stomey OG,https://www.eu-startups.com/directory/stomey-og/,Austria,Wattens,"software development, design, business software,",2021
aiones,https://www.eu-startups.com/directory/aiones/,Austria,Vienna,"Business Process Discovery, AI Assistant, Knowledge Management, Process Management",2024
Permar AI Inc.,https://www.eu-startups.com/directory/permar-ai-inc/,Austria,Vienna,"Website Optimization, Landing Pages, Automation",2024
Evolushost,https://www.eu-startups.com/directory/evolushost/,Austria,Vienna,"Dedicated Server, VPS, Webhosting, Domains, Datacenter, Colocation",2020
DreamPetsAI,https://www.eu-startups.com/directory/dreampetsai/,Austria,Eglau,"Pet, AI Image, Photo Filter",2024
LinkedIn Company Insights by AroundDeal,https://www.eu-startups.com/directory/linkedin-company-insights-by-arounddeal/,Austria,Linz,"sales, marketing, Buyer Intent Data",2024
jeanszilla,https://www.eu-startups.com/directory/jeanszilla/,Austria,linz,"mens denim outfits, women denim outfits, Kids denim outfits",2024
OneTask,https://www.eu-startups.com/directory/onetask/,Austria,Selker,"Saas, Productivity",2024
WEME Global,https://www.eu-startups.com/directory/weme-global/,Austria,Salzburg,BigData,2019
ThinkValue,https://www.eu-startups.com/directory/thinkvalue/,Austria,Vienna,Fintech,2023
SimVenture,https://www.eu-startups.com/directory/simventure/,Austria,Linz,Sports,2021
Seven Bel,https://www.eu-startups.com/directory/seven-bel/,Austria,Linz,BigData,2018
Principia MBS,https://www.eu-startups.com/directory/principia-mbs/,Austria,St. Martin im Mühlkreis,"CAE, Cloud Computing, Engineering",2023
Praxilla,https://www.eu-startups.com/directory/praxilla/,Austria,Linz,"Cloud Computing, SaaS, Software",2023
N Vision,https://www.eu-startups.com/directory/n-vision/,Austria,Graz,"AI, Big Data, Geospatial",2023
money:care,https://www.eu-startups.com/directory/moneycare/,Austria,Vienna,"Fintech, Sustainability",2021
MetabolizeMe,https://www.eu-startups.com/directory/metabolizeme/,Austria,Vienna,Health,2022
Magmatic,https://www.eu-startups.com/directory/magmatic/,Austria,Vienna,Health,2022
logicdev,https://www.eu-startups.com/directory/logicdev/,Austria,Graz,BigData,2020
Easy Month End,https://www.eu-startups.com/directory/easy-month-end/,Austria,Giga,"SaaS, Finance, Fintech, Month end, accounting, reconciliations, checklist, audit",2024
infrared.city,https://www.eu-startups.com/directory/infrared.city,Austria,Vienna,"AI, BigData, SaaS",2023
Foolproof Skin,https://www.eu-startups.com/directory/foolproof-skin/,Austria,Vienna,"AI, Health, Beauty",2022
ESG Chain,https://www.eu-startups.com/directory/esg-chain/,Austria,Vienna,BigData,2022
Enzyan Biocatalysis,https://www.eu-startups.com/directory/enzyan-biocatalysis/,Austria,Graz,Sustainability,2022
EnergyFamily,https://www.eu-startups.com/directory/energyfamily/,Austria,Euratsfeld,"Energy, IoT, SaaS",2022
creonect,https://www.eu-startups.com/directory/creonect/,Austria,Wolfern,"IoT, Machinery, SaaS",2023
Bundre,https://www.eu-startups.com/directory/bundre/,Austria,Linz,"Fashion, Retail, Sustainability",2023
Beat Shaper,https://www.eu-startups.com/directory/beat-shaper/,Austria,Vienna,"AI, Music, Entertainment",2023
APICHAMP,https://www.eu-startups.com/directory/apichamp/,Austria,Linz,"Backend as a Service, SaaS, Software",2022
TasteMy.City,https://www.eu-startups.com/directory/tastemy.city,Austria,Linz,"Entertainment, Retail, Travel",2023
RobotDreams,https://www.eu-startups.com/directory/robotdreams/,Austria,Graz,"AI, Health",2019
Redeem Solar Technologies,https://www.eu-startups.com/directory/redeem-solar-technologies/,Austria,Graz,Energy,2023
refinq,https://www.eu-startups.com/directory/refinq/,Austria,Vienna,BigData,2023
optivice.energy,https://www.eu-startups.com/directory/optiviceenergy/,Austria,Vienna,"Energy, AI, Sustainability",2023
myAcker,https://www.eu-startups.com/directory/myacker/,Austria,Spittal an der Drau,Farming,2018
SpaceXpanse Multiverse,https://www.eu-startups.com/directory/spacexpanse-multiverse/,Austria,Vienna,"Metaverse, GameFi, Blockchain, DApp",2022
HerzensApp,https://www.eu-startups.com/directory/herzensapp/,Austria,Graz,"Health, BigData, SaaS",2022
Glink,https://www.eu-startups.com/directory/glink/,Austria,Traismauer,BigData,2020
cyclebee,https://www.eu-startups.com/directory/cyclebee/,Austria,Graz,"SaaS, Sports",2020
commonsun,https://www.eu-startups.com/directory/commonsun/,Austria,Vienna,"Energy, Solar, Sustainability",2017
blue auditor,https://www.eu-startups.com/directory/blue-auditor/,Austria,Vienna,Sustainability,2017
